"drugid"	"smiles"
"DB00478"	"CC(N)C12CC3CC(CC(C3)C1)C2"
"DB00701"	"CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1"
"DB00711"	"CCN(CC)C(=O)N1CCN(C)CC1"
"DB00716"	"CCCC1=C2N(CC)C(=CC(=O)C2=CC2=C1OC(=CC2=O)C(O)=O)C(O)=O"
"DB00719"	"CN1CCC(CC1)=C1C2=CC=CC=C2CCC2=C1N=CC=C2"
"DB00725"	"[Br-].C[N+]1(C)C2CCC1CC(C2)OC(=O)C(O)C1=CC=CC=C1"
"DB00733"	"C[N+]1=C(C=NO)C=CC=C1"
"DB00735"	"CN(CC=CC1=CC=CC=C1)CC1=CC=CC2=CC=CC=C12"
"DB00920"	"CN1CCC(CC1)=C1C2=C(SC=C2)C(=O)CC2=CC=CC=C12"
"DB00922"	"C[C@@H]1CC(=O)NN=C1C1=CC=C(NN=C(C#N)C#N)C=C1"
"DB00931"	"CN(C)[C@H]1[C@@H]2[C@@H](O)[C@@H]3C(=C)C4=C(C(O)=CC=C4)C(=O)C3=C(O)[C@]2(O)C(=O)C(C(N)=O)C1=O"
"DB00936"	"OC(=O)C1=CC=CC=C1O"
"DB00939"	"CC1=C(Cl)C(NC2=CC=CC=C2C(O)=O)=C(Cl)C=C1"
"DB00940"	"CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC2=CC=CC=C12"
"DB00942"	"OC(CCN1CCCCC1)(C1CCCC1)C1=CC=CC=C1"
"DB00943"	"NC1=NC(=O)N(C=C1)[C@H]1CC[C@@H](CO)O1"
"DB01089"	"[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=CC=CC=C31)C2"
"DB01091"	"CN(CC1=CC=C(C=C1)C(C)(C)C)CC1=CC=CC2=CC=CC=C12"
"DB01096"	"CC(C)NCC1CCC2=CC(CO)=C(C=C2N1)[N+]([O-])=O"
"DB01105"	"CC(C)CC(N(C)C)C1(CCC1)C1=CC=C(Cl)C=C1"
"DB01107"	"CCC1(CC)C(=O)NCC(C)C1=O"
"DB01108"	"[H][C@]12O[C@]11CC[C@@]3([H])[C@]4([H])CC[C@H](O)[C@@]4(C)CC[C@]3([H])[C@@]1(C)CC(C#N)=C2O"
"DB01116"	"O=C1N(CC2=CC=CC=C2)C2C[S+]3CCCC3C2N1CC1=CC=CC=C1"
"DB01121"	"NC(=O)NC(=O)CC1=CC=CC=C1"
