"umlsid"	"parent_id"
"C0004352"	"meddra:10003805"
"C0004352"	"meddra:10034740"
"C0004352"	"meddra:10012561"
"C0004352"	"meddra:10057167"
"C0004352"	"meddra:10012562"
"C0004352"	"meddra:10037175"
"C0004352"	"meddra:10029205"
"C0004352"	"meddra:10003808"
"C0004352"	"meddra:10003806"
"C0004352"	"meddra:10008520"
"C0004352"	"meddra:10014043"
"C0004352"	"meddra:10021737"
"C0004352"	"meddra:10023277"
"C0004352"	"ndfrt:N0000000513"
"C0004352"	"ndfrt:N0000000753"
"C0004352"	"ndfrt:N0000003966"
"C0004352"	"ndfrt:N0000000538"
"C0004352"	"ndfrt:N0000000006"
"C0004352"	"ndfrt:N0000000004"
"C0155919"	"meddra:10000728"
"C0155919"	"meddra:10000948"
"C0155919"	"meddra:10001024"
"C0155919"	"meddra:10001029"
"C0155919"	"meddra:10037424"
"C0155919"	"meddra:10024120"
"C0155919"	"meddra:10019280"
"C0155919"	"meddra:10024967"
"C0155919"	"meddra:10038738"
"C0155919"	"meddra:10007541"
"C0242698"	"meddra:10049694"
"C0242698"	"meddra:10028590"
"C0242698"	"meddra:10028593"
"C0242698"	"meddra:10007541"
"C0001818"	"meddra:10001502"
"C0001818"	"meddra:10068299"
"C0001818"	"meddra:10002861"
"C0001818"	"meddra:10037175"
"C0001818"	"meddra:10016279"
"C0008513"	"meddra:10008769"
"C0008513"	"meddra:10038909"
"C0008513"	"meddra:10021877"
"C0008513"	"meddra:10015919"
"C0008513"	"meddra:10008760"
"C0008513"	"meddra:10008771"
"C0010043"	"meddra:10064996"
"C0010043"	"meddra:10011021"
"C0010043"	"meddra:10021877"
"C0010043"	"meddra:10015919"
"C0010043"	"meddra:10011059"
"C0010043"	"meddra:10011060"
"C0010043"	"meddra:10045295"
"C0010043"	"meddra:10048492"
"C0011884"	"meddra:10012689"
"C0011884"	"meddra:10012657"
"C0011884"	"meddra:10038932"
"C0011884"	"meddra:10030067"
"C0011884"	"meddra:10047066"
"C0011884"	"meddra:10047060"
"C0011884"	"meddra:10012653"
"C0011884"	"meddra:10027433"
"C0011884"	"meddra:10014698"
"C0011884"	"meddra:10015919"
"C0011884"	"meddra:10047065"
"C0011884"	"meddra:10038925"
"C0026636"	"meddra:10067621"
"C0026636"	"meddra:10031015"
"C0026636"	"meddra:10031013"
"C0026636"	"meddra:10017947"
"C0032533"	"meddra:10036099"
"C0032533"	"meddra:10010762"
"C0032533"	"meddra:10003821"
"C0032533"	"meddra:10003816"
"C0032533"	"meddra:10010761"
"C0032533"	"meddra:10028395"
"C0032533"	"meddra:10021428"
"C0042376"	"meddra:10047077"
"C0042376"	"meddra:10019233"
"C0042376"	"meddra:10008193"
"C0042376"	"meddra:10047066"
"C0042376"	"meddra:10019231"
"C0042376"	"meddra:10029205"
"C0042376"	"meddra:10047065"
"C0042376"	"meddra:10019228"
"C0085136"	"meddra:10007958"
"C0085136"	"meddra:10029213"
"C0085136"	"meddra:10029211"
"C0085136"	"meddra:10029205"
"C0085136"	"meddra:10029104"
"C0085136"	"meddra:10009715"
"C0085136"	"meddra:10028992"
"C0085136"	"meddra:10007959"
"C0085136"	"meddra:10009714"
"C0085136"	"meddra:10009716"
"C0085681"	"meddra:10020711"
"C0085681"	"meddra:10034941"
"C0085681"	"meddra:10013296"
"C0085681"	"meddra:10027433"
"C0085681"	"meddra:10020712"
"C0156543"	"meddra:10000210"
"C0156543"	"meddra:10000232"
"C0156543"	"meddra:10000211"
"C0156543"	"meddra:10036585"
"C0156543"	"meddra:10000231"
"C0156543"	"meddra:10045581"
"C0600260"	"meddra:10061877"
"C0600260"	"meddra:10006484"
"C0600260"	"meddra:10006436"
"C0600260"	"meddra:10038738"
"C0600260"	"meddra:10025081"
"C0600260"	"meddra:10013108"
"C0600260"	"meddra:10029959"
"C0600260"	"meddra:10029973"
"C0010418"	"meddra:10011499"
"C0010418"	"meddra:10037072"
"C0010418"	"meddra:10021881"
"C0010418"	"meddra:10011502"
"C0010418"	"meddra:10017887"
"C0010418"	"meddra:10017966"
"C0010418"	"meddra:10017947"
"C0010418"	"meddra:10011501"
