dbid,atc_label
DB00783,G02BB01
DB00783,G03CA03
DB00783,G03FA05
DB00162,V04CB01
DB00162,S01XA02
DB00162,D10AD02
DB00162,R01AX02
DB00162,A11CA01
DB00523,D11AH04
DB00523,L01XX22
DB00755,D10AD51
DB00755,L01XX14
DB00755,D10AD01
DB00169,M05BB09
DB00169,M05BX53
DB00169,M05BB07
DB00169,M05BB08
DB00169,A11CC55
DB00169,M05BB05
DB00169,A11CC05
DB00169,M05BB03
DB00169,M05BB04
DB00227,C10AA02
DB00227,C10BA01
DB00439,C10AA06
DB00641,C10BX04
DB00641,A10BH51
DB00641,C10AA01
DB00641,C10BA02
DB00641,C10BX01
DB00641,C10BA04
DB00175,C10AA03
DB00175,C10BA03
DB00175,C10BX02
DB01098,C10BX10
DB01098,G01AE10
DB01098,C10BX07
DB01098,C10BX09
DB01098,C10BX14
DB01098,C10BX13
DB01098,C10BX05
DB01098,C10BA06
DB01098,C10AA07
DB01098,A10BH52
DB00399,M05BB08
DB00399,M05BA08
DB00282,M05BA03
DB01095,C10AA04
DB00710,M05BB09
DB00710,M05BA06
DB00630,M05BB05
DB00630,M05BB03
DB00630,M05BA04
DB00630,M05BB06
DB00884,M05BB07
DB00884,M05BB04
DB00884,M05BB02
DB00884,M05BA07
DB13178,A11HA07
DB00177,C09DX05
DB00177,C10BX10
DB00177,C09DA03
DB00177,C09CA03
DB00177,C09DX02
DB00177,C09DX01
DB00177,C09DB08
DB00177,C09DB01
DB00177,C09DX04
DB00178,C09BX03
DB00178,C10BX04
DB00178,C09BB07
DB00178,C10BX06
DB00178,C09BB05
DB00178,C09BA05
DB00178,C09AA05
DB00184,N07BA01
DB00187,C07AB09
DB00193,N02AJ13
DB00193,N02AJ14
DB00193,N02AX02
DB00195,S01ED02
DB00195,C07AB05
DB00195,S01ED52
DB00208,B01AC05
DB00213,A02BD11
DB00213,A02BD04
DB00213,A02BC02
DB03128,S01EB09
DB00214,G01AE10
DB00214,C03CA04
DB00215,N06AB04
DB00232,G01AE10
DB00232,C03AA08
DB00232,C03AB08
DB00238,J05AG01
DB00238,J05AR05
DB00238,J05AR07
DB01320,N03AB05
DB00264,C07FB02
DB00264,C07FX05
DB00264,C07FX03
DB00264,C07FB13
DB00264,C07AB02
DB00264,C07BB52
DB00264,C07CB02
DB00264,C07BB02
DB00266,B01AA01
DB00270,C08CA03
DB00272,V04CG02
DB00275,C09DA08
DB00275,C09DX03
DB00275,C09CA08
DB00275,C09DB02
DB00278,B01AE03
DB00280,C01BA03
DB00281,S01HA07
DB00281,D04AB01
DB00281,S02DA01
DB00281,C01BB01
DB00281,R02AD02
DB00281,N01BB52
DB00281,C05AD01
DB00281,N01BB02
DB00283,D04AA14
DB00283,R06AA54
DB00283,R06AA04
DB00285,N06AX16
DB06700,N06AX23
DB00295,A07DA52
DB00295,N02AA51
DB00295,N02AA01
DB00295,N02AG01
DB00318,N02AJ06
DB00318,N02AA79
DB00318,R05DA04
DB00318,N02AA59
DB00318,N02AJ08
DB00318,N02AJ07
DB01452,N07BC06
DB00296,N01BB09
DB00297,N01BB01
DB00297,N01BB51
DB00300,J05AR09
DB00300,J05AR12
DB00300,J05AR24
DB00300,J05AR06
DB00300,J05AF07
DB00300,J05AR03
DB00300,J05AR08
DB00300,J05AR11
DB00302,B02AA02
DB00308,C01BD05
DB00309,L01CA03
DB00313,N03AG01
DB00317,L01XE02
DB00327,N02AA53
DB00327,N02AA03
DB00327,N02AG04
DB00333,N07BC02
DB00333,N02AC52
DB00335,C07CB53
DB00335,C07AB03
DB00335,C07FB03
DB00335,C07DB01
DB00335,C07BB03
DB00335,C07CB03
DB00338,A02BC01
DB00338,A02BD05
DB00338,A02BD01
DB00341,R06AE07
DB00342,R06AX12
DB00343,C08DB01
DB00343,C05AE03
DB00354,R06AE51
DB00354,R06AE01
DB00997,L01DB01
DB00361,L01CA04
DB00366,R06AA09
DB00366,R06AA59
DB01086,C05AD03
DB01086,R02AD01
DB01086,D04AB04
DB01086,N01BA05
DB00807,S01HA04
DB00813,N01AH01
DB00813,N02AB03
DB00813,N01AH51
DB00708,N01AH03
DB06738,N02AB01
DB06738,N02AG02
DB00892,S01HA02
DB00892,D04AB03
DB00956,R05DA03
DB00899,N01AH06
DB00472,N06CA03
DB00472,N06AB03
DB00647,N02AC04
DB00647,N02AC54
DB00647,N02AC74
DB00913,N01AH05
DB00370,N06AX11
DB00371,N05BC51
DB00371,N05CX01
DB00371,N05BC01
DB00544,L01BC52
DB00544,L01BC02
DB01101,L01BC06
DB00373,C07AA06
DB00373,S01ED51
DB00373,C07BA06
DB00373,C07DA06
DB00373,S01ED01
DB00379,C01BB02
DB00381,C09DX01
DB00381,C09DB01
DB00381,C09BX03
DB00381,C09BB07
DB00381,C07FB13
DB00381,C09DX03
DB00381,C09DB02
DB00381,C09XA54
DB00381,C10BX07
DB00381,C09BB03
DB00381,C09BB04
DB00381,C07FB07
DB00381,C09DB06
DB00381,C07FB12
DB00381,C09DB05
DB00381,C09XA53
DB00381,C10BX03
DB00381,C08CA01
DB00381,C09DB04
DB00381,C08GA02
DB00381,C09DB07
DB00381,C09DX06
DB00381,C09BX01
DB00381,C10BX11
DB00381,C10BX09
DB00381,C10BX14
DB00384,C03DB02
DB00393,C08CA06
DB00396,G03FA04
DB00396,G03DA04
DB00741,S01CB03
DB00741,A01AC03
DB00741,S01BB01
DB00741,S01CA03
DB00741,D07AA02
DB00741,S01BA02
DB00741,D07XA01
DB00741,D07BA04
DB00741,S02CA03
